First Name,Last Name,Constituency,Political Affiliation,Honorific Title,Province,Gender,Row,Column,PID,CID
Carol,Hughes,Algoma—Manitoulin—Kapuskasing,NDP,,Ontario,F,01,47,31289,3
Ahmed,Hussen,York South—Weston,Liberal,,Ontario,M,10,44,89020,4
Gudie,Hutchings,Long Range Mountains,Liberal,,Newfoundland and Labrador,F,09,38,88292,4
Angelo,Iacono,Alfred-Pellan,Liberal,,Quebec,M,10,45,71337,4
Matt,Jeneroux,Edmonton Riverbend,Conservative,,Alberta,M,01,23,89167,8781
Gord,Johns,Courtenay—Alberni,NDP,,British Columbia,M,01,38,89263,3
Georgina,Jolibois,Desnethé—Missinippi—Churchill River,NDP,,Saskatchewan,F,01,44,89065,3
Mélanie,Joly,Ahuntsic-Cartierville,Liberal,Hon.,Quebec,F,07,12,88384,4
Yvonne,Jones,Labrador,Liberal,,Newfoundland and Labrador,F,08,39,13218,4
Bernadette,Jordan,South Shore—St. Margarets,Liberal,,Nova Scotia,F,10,47,88340,4
Majid,Jowhari,Richmond Hill,Liberal,,Ontario,M,11,00,88929,4
Peter,Julian,New Westminster—Burnaby,NDP,,British Columbia,M,03,45,16399,3
Darshan Singh,Kang,Calgary Skyview,Liberal,,Alberta,M,11,01,89144,4
Pat,Kelly,Calgary Rocky Ridge,Conservative,,Alberta,M,01,27,89130,8781
Peter,Kent,Thornhill,Conservative,Hon.,Ontario,M,04,24,35699,8781
Iqra,Khalid,Mississauga—Erin Mills,Liberal,,Ontario,F,11,02,88849,4
Kamal,Khera,Brampton West,Liberal,,Ontario,F,08,09,88705,4
Robert,Kitchen,Souris—Moose Mountain,Conservative,,Saskatchewan,M,01,28,89095,8781
Tom,Kmiec,Calgary Shepard,Conservative,,Alberta,M,01,29,89136,8781
Jenny,Kwan,Vancouver East,NDP,,British Columbia,F,03,44,89346,3
Mike,Lake,Edmonton—Wetaskiwin,Conservative,Hon.,Alberta,M,02,05,35857,8781
David,Lametti,LaSalle—Émard—Verdun,Liberal,,Quebec,M,08,38,88501,4
Kevin,Lamoureux,Winnipeg North,Liberal,,Manitoba,M,09,20,30552,4
Linda,Lapointe,Rivière-des-Mille-Îles,Liberal,,Quebec,F,11,03,88601,4
Guy,Lauzon,Stormont—Dundas—South Glengarry,Conservative,,Ontario,M,02,06,25516,8781
Stéphane,Lauzon,Argenteuil—La Petite-Nation,Liberal,,Quebec,M,08,06,88394,4
Hélène,Laverdière,Laurier—Sainte-Marie,NDP,,Quebec,F,03,39,71434,3
Denis,Lebel,Lac-Saint-Jean,Conservative,Hon.,Quebec,M,04,21,38633,8781
Dominic,LeBlanc,Beauséjour,Liberal,Hon.,New Brunswick,M,07,17,1813,4
Diane,Lebouthillier,Gaspésie—Les Îles-de-la-Madeleine,Liberal,Hon.,Quebec,F,07,29,88460,4
Paul,Lefebvre,Sudbury,Liberal,,Ontario,M,11,04,88973,4
K. Kellie,Leitch,Simcoe—Grey,Conservative,Hon.,Ontario,F,00,11,71786,8781
Denis,Lemieux,Chicoutimi—Le Fjord,Liberal,,Quebec,M,11,05,88446,4
Andrew,Leslie,Orléans,Liberal,Hon.,Ontario,M,08,20,88894,4
Michael,Levitt,York Centre,Liberal,,Ontario,M,11,06,89018,4
Ron,Liepert,Calgary Signal Hill,Conservative,,Alberta,M,01,30,89139,8781
Joël,Lightbound,Louis-Hébert,Liberal,,Quebec,M,11,08,88532,4
Ben,Lobb,Huron—Bruce,Conservative,,Ontario,M,02,23,35600,8781
Alaina,Lockhart,Fundy Royal,Liberal,,New Brunswick,F,11,09,88357,4
Wayne,Long,Saint John—Rothesay,Liberal,,New Brunswick,M,11,10,88368,4
Lloyd,Longfield,Guelph,Liberal,,Ontario,M,11,11,88761,4
Karen,Ludwig,New Brunswick Southwest,Liberal,,New Brunswick,F,11,12,88365,4
Tom,Lukiwski,Moose Jaw—Lake Centre—Lanigan,Conservative,,Saskatchewan,M,02,08,25520,8781
Lawrence,MacAulay,Cardigan,Liberal,Hon.,Prince Edward Island,M,07,27,33,4
Alistair,MacGregor,Cowichan—Malahat—Langford,NDP,,British Columbia,M,01,40,89269,3
Dave,MacKenzie,Oxford,Conservative,,Ontario,M,02,18,891,8781
Steven,MacKinnon,Gatineau,Liberal,,Quebec,M,11,14,88468,4
Larry,Maguire,Brandon—Souris,Conservative,,Manitoba,M,01,09,7251,8781
Sheila,Malcolmson,Nanaimo—Ladysmith,NDP,,British Columbia,F,01,39,89486,3
James,Maloney,Etobicoke—Lakeshore,Liberal,,Ontario,M,11,15,88748,4
Simon,Marcil,Mirabel,Bloc Québécois,,Quebec,M,00,34,88544,6
Brian,Masse,Windsor West,NDP,,Ontario,M,04,47,9137,3
Rémi,Massé,Avignon—La Mitis—Matane—Matapédia,Liberal,,Quebec,M,11,16,88397,4
Irene,Mathyssen,London—Fanshawe,NDP,,Ontario,F,03,36,764,3
Bryan,May,Cambridge,Liberal,,Ontario,M,11,17,71599,4
Elizabeth,May,Saanich—Gulf Islands,Green Party,,British Columbia,F,00,45,2897,14130
John,McCallum,Markham—Thornhill,Liberal,Hon.,Ontario,M,07,32,1817,4
Kelly,McCauley,Edmonton West,Conservative,,Alberta,M,01,20,89179,8781
Phil,McColeman,Brantford—Brant,Conservative,,Ontario,M,03,27,35539,8781
Karen,McCrimmon,Kanata—Carleton,Liberal,,Ontario,F,08,05,71602,4
Ken,McDonald,Avalon,Liberal,,Newfoundland and Labrador,M,11,18,88283,4
David,McGuinty,Ottawa South,Liberal,,Ontario,M,08,03,9486,4
John,McKay,Scarborough—Guildwood,Liberal,Hon.,Ontario,M,08,08,957,4
Catherine,McKenna,Ottawa Centre,Liberal,Hon.,Ontario,F,07,33,88892,4
Ron,McKinnon,Coquitlam—Port Coquitlam,Liberal,,British Columbia,M,11,20,59293,4
Cathy,McLeod,Kamloops—Thompson—Cariboo,Conservative,,British Columbia,F,04,14,59265,8781
Michael,McLeod,Northwest Territories,Liberal,,Northwest Territories,M,11,21,89374,4
